rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,hd_name,hip_name
993,Kepler-222,c,Transit,3,10.08881000,0.00001100,-0.00001100,0,0.091000,,,0,,,,,,,,,,,,,0.414,0.185,-0.185,0,,,,,,,,,0,1,,,,,,,,,5433.00,200.00,-200.00,0,0,,,,,,0.87,0.38,-0.38,0,0,,
994,Kepler-222,d,Transit,3,28.08191200,0.00006900,-0.00006900,0,0.180000,,,0,,,,,,,,,,,,,0.329,0.145,-0.145,0,,,,,,,,,0,1,,,,,,,,,5433.00,200.00,-200.00,0,0,,,,,,0.87,0.38,-0.38,0,0,,
995,Kepler-223,b,Transit,4,7.38410800,0.00015900,-0.00015900,0,0.073000,,,0,,,,,,,,,,,,,0.151,0.065,-0.065,0,,,,,,,,,0,1,,,,,,,,,5829.00,200.00,-200.00,0,0,,,,,,1.02,0.44,-0.44,0,0,,
996,Kepler-223,c,Transit,4,9.84818300,0.00014500,-0.00014500,0,0.088000,,,0,,,,,,,,,,,,,0.178,0.078,-0.078,0,,,,,,,,,0,1,,,,,,,,,5829.00,200.00,-200.00,0,0,,,,,,1.02,0.44,-0.44,0,0,,
997,Kepler-223,d,Transit,4,14.78875900,0.00010800,-0.00010800,0,0.116000,,,0,,,,,,,,,,,,,0.266,0.117,-0.117,0,,,,,,,,,0,1,,,,,,,,,5829.00,200.00,-200.00,0,0,,,,,,1.02,0.44,-0.44,0,0,,
998,Kepler-223,e,Transit,4,19.72173400,0.00022800,-0.00022800,0,0.140000,,,0,,,,,,,,,,,,,0.214,0.093,-0.093,0,,,,,,,,,0,1,,,,,,,,,5829.00,200.00,-200.00,0,0,,,,,,1.02,0.44,-0.44,0,0,,
999,Kepler-224,b,Transit,4,3.13292400,0.00001400,-0.00001400,0,0.038000,,,0,,,,,,,,,,,,,0.124,0.008,-0.008,0,,,,,,,,,0,1,,,,,,,,,5018.00,100.00,-100.00,0,0,0.7400,,,0,0,0.68,0.04,-0.04,0,0,,
1000,Kepler-224,c,Transit,4,5.92500300,0.00001000,-0.00001000,0,0.058000,,,0,,,,,,,,,,,,,0.278,0.023,-0.023,0,,,,,,,,,0,1,,,,,,,,,5018.00,100.00,-100.00,0,0,0.7400,,,0,0,0.68,0.04,-0.04,0,0,,
1001,Kepler-224,d,Transit,4,11.34939300,0.00003400,-0.00003400,0,0.089000,,,0,,,,,,,,,,,,,0.205,0.012,-0.012,0,,,,,,,,,0,1,,,,,,,,,5018.00,100.00,-100.00,0,0,0.7400,,,0,0,0.68,0.04,-0.04,0,0,,
1002,Kepler-224,e,Transit,4,18.64357700,0.00008700,-0.00008700,0,0.124000,,,0,,,,,,,,,,,,,0.176,0.013,-0.013,0,,,,,,,,,0,1,,,,,,,,,5018.00,100.00,-100.00,0,0,0.7400,,,0,0,0.68,0.04,-0.04,0,0,,
1003,Kepler-225,b,Transit,2,6.73897500,0.00004100,-0.00004100,0,0.056000,,,0,,,,,,,,,,,,,0.107,0.006,-0.006,0,,,,,,,,,0,1,,,,,,,,,3682.00,150.00,-150.00,0,0,,,,,,0.48,0.02,-0.02,0,0,,
1004,Kepler-225,c,Transit,2,18.79423400,0.00007600,-0.00007600,0,0.111000,,,0,,,,,,,,,,,,,0.164,0.009,-0.009,0,,,,,,,,,0,1,,,,,,,,,3682.00,150.00,-150.00,0,0,,,,,,0.48,0.02,-0.02,0,0,,
1005,Kepler-226,b,Transit,3,3.94099700,0.00002000,-0.00002000,0,0.047000,,,0,,,,,,,,,,,,,0.138,0.055,-0.055,0,,,,,,,,,0,1,,,,,,,,,5571.00,200.00,-200.00,0,0,0.8600,,,0,0,0.80,0.32,-0.32,0,0,,
1006,Kepler-226,c,Transit,3,5.34955500,0.00001400,-0.00001400,0,0.058000,,,0,,,,,,,,,,,,,0.203,0.080,-0.080,0,,,,,,,,,0,1,,,,,,,,,5571.00,200.00,-200.00,0,0,0.8600,,,0,0,0.80,0.32,-0.32,0,0,,
1007,Kepler-226,d,Transit,3,8.10904400,0.00009400,-0.00009400,0,0.076000,,,0,,,,,,,,,,,,,0.109,0.044,-0.044,0,,,,,,,,,0,1,,,,,,,,,5571.00,200.00,-200.00,0,0,0.8600,,,0,0,0.80,0.32,-0.32,0,0,,
1008,Kepler-227,b,Transit,2,9.48801500,0.00003900,-0.00003900,0,0.090000,,,0,,,,,,,,,,,,,0.277,0.140,-0.140,0,,,,,,,,,0,1,,,,,,,,,5854.00,200.00,-200.00,0,0,,,,,,1.09,0.55,-0.55,0,0,,
1009,Kepler-227,c,Transit,2,54.41869400,0.00046000,-0.00046000,0,0.290000,,,0,,,,,,,,,,,,,0.271,0.136,-0.136,0,,,,,,,,,0,1,,,,,,,,,5854.00,200.00,-200.00,0,0,,,,,,1.09,0.55,-0.55,0,0,,
1010,Kepler-228,b,Transit,3,2.56654600,0.00002600,-0.00002600,0,0.038000,,,0,,,,,,,,,,,,,0.136,0.063,-0.063,0,,,,,,,,,0,1,,,,,,,,,6043.00,200.00,-200.00,0,0,,,,,,1.01,0.47,-0.47,0,0,,
1011,Kepler-228,c,Transit,3,4.13444400,0.00001800,-0.00001800,0,0.052000,,,0,,,,,,,,,,,,,0.241,0.111,-0.111,0,,,,,,,,,0,1,,,,,,,,,6043.00,200.00,-200.00,0,0,,,,,,1.01,0.47,-0.47,0,0,,
1012,Kepler-228,d,Transit,3,11.09428600,0.00003600,-0.00003600,0,0.101000,,,0,,,,,,,,,,,,,0.360,0.165,-0.165,0,,,,,,,,,0,1,,,,,,,,,6043.00,200.00,-200.00,0,0,,,,,,1.01,0.47,-0.47,0,0,,
1013,Kepler-229,b,Transit,3,6.25297200,0.00002100,-0.00002100,0,0.062000,,,0,,,,,,,,,,,,,0.196,0.070,-0.070,0,,,,,,,,,0,1,,,,,,,,,5120.00,200.00,-200.00,0,0,,,,,,0.73,0.26,-0.26,0,0,,
1014,Kepler-229,c,Transit,3,16.06863800,0.00001900,-0.00001900,0,0.117000,,,0,,,,,,,,,,,,,0.439,0.155,-0.155,0,,,,,,,,,0,1,,,,,,,,,5120.00,200.00,-200.00,0,0,,,,,,0.73,0.26,-0.26,0,0,,
1015,Kepler-229,d,Transit,3,41.19491200,0.00024800,-0.00024800,0,0.220000,,,0,,,,,,,,,,,,,0.343,0.123,-0.123,0,,,,,,,,,0,1,,,,,,,,,5120.00,200.00,-200.00,0,0,,,,,,0.73,0.26,-0.26,0,0,,
1016,Kepler-23,b,Transit,3,7.10730000,,,0,0.075000,,,0,,,,,0.80000,,,1,,,,,0.170,,,0,,,,,,,,,1,1,800.00,,,,,,,,5828.00,100.00,-100.00,0,0,1.1100,0.0900,-0.1200,0,0,1.55,0.05,-0.05,0,0,,
1017,Kepler-23,c,Transit,3,10.74210000,,,0,0.099000,,,0,,,,,2.70000,,,1,,,,,0.285,,,0,,,,,,,,,1,1,800.00,,,,,,,,5828.00,100.00,-100.00,0,0,1.1100,0.0900,-0.1200,0,0,1.55,0.05,-0.05,0,0,,
1018,Kepler-23,d,Transit,3,15.27429900,0.00010400,-0.00010400,0,0.124000,,,0,,,,,,,,,,,,,0.196,0.008,-0.008,0,,,,,,,,,1,1,800.00,,,,,,,,5828.00,100.00,-100.00,0,0,1.1100,0.0900,-0.1200,0,0,1.55,0.05,-0.05,0,0,,
1019,Kepler-230,b,Transit,2,32.62555500,0.00012600,-0.00012600,0,0.191000,,,0,,,,,,,,,,,,,0.380,0.194,-0.194,0,,,,,,,,,0,1,,,,,,,,,5588.00,200.00,-200.00,0,0,,,,,,0.82,0.41,-0.41,0,0,,
1020,Kepler-230,c,Transit,2,91.77324200,0.00161800,-0.00161800,0,0.380000,,,0,,,,,,,,,,,,,0.182,0.093,-0.093,0,,,,,,,,,0,1,,,,,,,,,5588.00,200.00,-200.00,0,0,,,,,,0.82,0.41,-0.41,0,0,,
1021,Kepler-231,b,Transit,2,10.06527500,0.00002700,-0.00002700,0,0.074000,,,0,,,,,,,,,,,,,0.154,0.011,-0.011,0,,,,,,,,,0,1,,,,,,,,,3767.00,150.00,-150.00,0,0,0.5800,,,0,0,0.49,0.02,-0.02,0,0,,
1022,Kepler-231,c,Transit,2,19.27156600,0.00009900,-0.00009900,0,0.114000,,,0,,,,,,,,,,,,,0.172,0.017,-0.017,0,,,,,,,,,0,1,,,,,,,,,3767.00,150.00,-150.00,0,0,0.5800,,,0,0,0.49,0.02,-0.02,0,0,,
1023,Kepler-232,b,Transit,2,4.43122200,0.00001100,-0.00001100,0,0.054000,,,0,,,,,,,,,,,,,0.275,0.131,-0.131,0,,,,,,,,,0,1,,,,,,,,,5847.00,200.00,-200.00,0,0,,,,,,0.97,0.46,-0.46,0,0,,
1024,Kepler-232,c,Transit,2,11.37934900,0.00004400,-0.00004400,0,0.101000,,,0,,,,,,,,,,,,,0.342,0.166,-0.166,0,,,,,,,,,0,1,,,,,,,,,5847.00,200.00,-200.00,0,0,,,,,,0.97,0.46,-0.46,0,0,,
1025,Kepler-233,b,Transit,2,8.47238200,0.00002600,-0.00002600,0,0.077000,,,0,,,,,,,,,,,,,0.217,0.059,-0.059,0,,,,,,,,,0,1,,,,,,,,,5360.00,200.00,-200.00,0,0,,,,,,0.76,0.21,-0.21,0,0,,
1026,Kepler-233,c,Transit,2,60.41895500,0.00063000,-0.00063000,0,0.287000,,,0,,,,,,,,,,,,,0.242,0.070,-0.070,0,,,,,,,,,0,1,,,,,,,,,5360.00,200.00,-200.00,0,0,,,,,,0.76,0.21,-0.21,0,0,,
1027,Kepler-234,b,Transit,2,2.71150600,0.00000600,-0.00000600,0,0.040000,,,0,,,,,,,,,,,,,0.330,0.148,-0.148,0,,,,,,,,,0,1,,,,,,,,,6224.00,200.00,-200.00,0,0,,,,,,1.11,0.49,-0.49,0,0,,
1028,Kepler-234,c,Transit,2,7.21205000,0.00002200,-0.00002200,0,0.077000,,,0,,,,,,,,,,,,,0.313,0.139,-0.139,0,,,,,,,,,0,1,,,,,,,,,6224.00,200.00,-200.00,0,0,,,,,,1.11,0.49,-0.49,0,0,,
1029,Kepler-235,b,Transit,4,3.34022200,0.00000500,-0.00000500,0,0.037000,,,0,,,,,,,,,,,,,0.199,0.009,-0.009,0,,,,,,,,,0,1,,,,,,,,,4255.00,100.00,-100.00,0,0,0.5900,,,0,0,0.55,0.02,-0.02,0,0,,
1030,Kepler-235,c,Transit,4,7.82490400,0.00005500,-0.00005500,0,0.065000,,,0,,,,,,,,,,,,,0.114,0.007,-0.007,0,,,,,,,,,0,1,,,,,,,,,4255.00,100.00,-100.00,0,0,0.5900,,,0,0,0.55,0.02,-0.02,0,0,,
1031,Kepler-235,d,Transit,4,20.06054800,0.00009900,-0.00009900,0,0.122000,,,0,,,,,,,,,,,,,0.183,0.009,-0.009,0,,,,,,,,,0,1,,,,,,,,,4255.00,100.00,-100.00,0,0,0.5900,,,0,0,0.55,0.02,-0.02,0,0,,
1032,Kepler-235,e,Transit,4,46.18366900,0.00042500,-0.00042500,0,0.213000,,,0,,,,,,,,,,,,,0.198,0.026,-0.026,0,,,,,,,,,0,1,,,,,,,,,4255.00,100.00,-100.00,0,0,0.5900,,,0,0,0.55,0.02,-0.02,0,0,,
1033,Kepler-236,b,Transit,2,8.29561100,0.00003200,-0.00003200,0,0.065000,,,0,,,,,,,,,,,,,0.140,0.011,-0.011,0,,,,,,,,,0,1,,,,,,,,,3750.00,150.00,-150.00,0,0,0.5600,,,0,0,0.51,0.02,-0.02,0,0,,
1034,Kepler-236,c,Transit,2,23.96812700,0.00017400,-0.00017400,0,0.132000,,,0,,,,,,,,,,,,,0.178,0.015,-0.015,0,,,,,,,,,0,1,,,,,,,,,3750.00,150.00,-150.00,0,0,0.5600,,,0,0,0.51,0.02,-0.02,0,0,,
1035,Kepler-237,b,Transit,2,4.71510600,0.00003000,-0.00003000,0,0.050000,,,0,,,,,,,,,,,,,0.126,0.067,-0.067,0,,,,,,,,,0,1,,,,,,,,,4861.00,200.00,-200.00,0,0,0.7000,,,0,0,0.72,0.38,-0.38,0,0,,
1036,Kepler-237,c,Transit,2,8.10363600,0.00003200,-0.00003200,0,0.071000,,,0,,,,,,,,,,,,,0.186,0.098,-0.098,0,,,,,,,,,0,1,,,,,,,,,4861.00,200.00,-200.00,0,0,0.7000,,,0,0,0.72,0.38,-0.38,0,0,,
1037,Kepler-238,b,Transit,5,2.09087600,0.00002000,-0.00002000,0,0.034000,,,0,,,,,,,,,,,,,0.154,0.036,-0.036,0,,,,,,,,,0,1,,,,,,,,,5751.00,100.00,-100.00,0,0,1.0600,0.1700,-0.1200,0,0,1.43,0.26,-0.26,0,0,,
1038,Kepler-238,c,Transit,5,6.15555700,0.00005000,-0.00005000,0,0.069000,,,0,,,,,,,,,,,,,0.213,0.040,-0.040,0,,,,,,,,,0,1,,,,,,,,,5751.00,100.00,-100.00,0,0,1.0600,0.1700,-0.1200,0,0,1.43,0.26,-0.26,0,0,,
1039,Kepler-238,d,Transit,5,13.23354900,0.00008100,-0.00008100,0,0.115000,,,0,,,,,,,,,,,,,0.274,0.051,-0.051,0,,,,,,,,,0,1,,,,,,,,,5751.00,100.00,-100.00,0,0,1.0600,0.1700,-0.1200,0,0,1.43,0.26,-0.26,0,0,,
1040,Kepler-238,e,Transit,5,23.65400000,,,0,,,,,,,,,0.53400,0.22600,-0.21700,0,,,,,0.500,0.211,-0.041,0,,,,,,,,,1,1,,,,,,,,,5751.00,100.00,-100.00,0,0,1.0600,0.1700,-0.1200,0,0,1.43,0.26,-0.26,0,0,,
1041,Kepler-238,f,Transit,5,50.44700000,,,0,,,,,,,,,0.04200,0.00900,-0.00800,0,,,,,0.178,0.076,-0.015,0,,,,,,,,,1,1,,,,,,,,,5751.00,100.00,-100.00,0,0,1.0600,0.1700,-0.1200,0,0,1.43,0.26,-0.26,0,0,,
1042,Kepler-239,b,Transit,2,11.76305100,0.00003400,-0.00003400,0,0.095000,,,0,,,,,,,,,,,,,0.208,0.013,-0.013,0,,,,,,,,,0,1,,,,,,,,,4914.00,100.00,-100.00,0,0,0.7400,,,0,0,0.76,0.04,-0.04,0,0,,
1043,Kepler-239,c,Transit,2,56.22809800,0.00058000,-0.00058000,0,0.268000,,,0,,,,,,,,,,,,,0.224,0.037,-0.037,0,,,,,,,,,0,1,,,,,,,,,4914.00,100.00,-100.00,0,0,0.7400,,,0,0,0.76,0.04,-0.04,0,0,,
1044,Kepler-24,b,Transit,4,8.14530000,,,0,0.080000,,,0,,,,,1.60000,,,1,,,,,0.214,,,0,,,,,,,,,1,1,1200.00,,,0,,,,,5897.00,219.00,-219.00,0,0,1.0300,0.1100,-0.1400,0,0,1.29,0.29,-0.29,0,0,,
1045,Kepler-24,c,Transit,4,12.33350000,,,0,0.106000,,,0,,,,,1.60000,,,1,,,,,0.250,,,0,,,,,,,,,1,1,1200.00,,,0,,,,,5897.00,219.00,-219.00,0,0,1.0300,0.1100,-0.1400,0,0,1.29,0.29,-0.29,0,0,,
1046,Kepler-24,d,Transit,4,4.24438400,0.00005300,-0.00005300,0,0.051000,,,0,,,,,,,,,,,,,0.149,0.035,-0.035,0,,,,,,,,,0,1,1200.00,,,0,,,,,5897.00,219.00,-219.00,0,0,1.0300,0.1100,-0.1400,0,0,1.29,0.29,-0.29,0,0,,
1047,Kepler-24,e,Transit,4,18.99835500,0.00015700,-0.00015700,0,0.138000,,,0,,,,,,,,,,,,,0.248,0.057,-0.057,0,,,,,,,,,0,1,1200.00,,,0,,,,,5897.00,219.00,-219.00,0,0,1.0300,0.1100,-0.1400,0,0,1.29,0.29,-0.29,0,0,,
1048,Kepler-240,b,Transit,2,4.14449500,0.00002600,-0.00002600,0,0.048000,,,0,,,,,,,,,,,,,0.122,0.050,-0.050,0,,,,,,,,,0,1,,,,,,,,,4985.00,200.00,-200.00,0,0,,,,,,0.74,0.30,-0.30,0,0,,
1049,Kepler-240,c,Transit,2,7.95352800,0.00002500,-0.00002500,0,0.074000,,,0,,,,,,,,,,,,,0.196,0.079,-0.079,0,,,,,,,,,0,1,,,,,,,,,4985.00,200.00,-200.00,0,0,,,,,,0.74,0.30,-0.30,0,0,,
1050,Kepler-241,b,Transit,2,12.71809200,0.00003500,-0.00003500,0,0.094000,,,0,,,,,,,,,,,,,0.208,0.092,-0.092,0,,,,,,,,,0,1,,,,,,,,,4699.00,200.00,-200.00,0,0,,,,,,0.67,0.29,-0.29,0,0,,
1051,Kepler-241,c,Transit,2,36.06597800,0.00013300,-0.00013300,0,0.189000,,,0,,,,,,,,,,,,,0.229,0.099,-0.099,0,,,,,,,,,0,1,,,,,,,,,4699.00,200.00,-200.00,0,0,,,,,,0.67,0.29,-0.29,0,0,,
1052,Kepler-242,b,Transit,2,8.20395000,0.00002000,-0.00002000,0,0.075000,,,0,,,,,,,,,,,,,0.233,0.143,-0.143,0,,,,,,,,,0,1,,,,,,,,,5020.00,200.00,-200.00,0,0,,,,,,0.85,0.52,-0.52,0,0,,
1053,Kepler-242,c,Transit,2,14.49648100,0.00008300,-0.00008300,0,0.109000,,,0,,,,,,,,,,,,,0.178,0.110,-0.110,0,,,,,,,,,0,1,,,,,,,,,5020.00,200.00,-200.00,0,0,,,,,,0.85,0.52,-0.52,0,0,,
1054,Kepler-243,b,Transit,2,5.71544200,0.00001100,-0.00001100,0,0.062000,,,0,,,,,,,,,,,,,0.219,0.103,-0.103,0,,,,,,,,,0,1,,,,,,,,,5228.00,200.00,-200.00,0,0,0.8900,,,0,0,0.84,0.40,-0.40,0,0,,
1055,Kepler-243,c,Transit,2,20.02621800,0.00016300,-0.00016300,0,0.142000,,,0,,,,,,,,,,,,,0.178,0.087,-0.087,0,,,,,,,,,0,1,,,,,,,,,5228.00,200.00,-200.00,0,0,0.8900,,,0,0,0.84,0.40,-0.40,0,0,,
1056,Kepler-244,b,Transit,3,4.31179200,0.00000800,-0.00000800,0,0.050000,,,0,,,,,,,,,,,,,0.246,0.103,-0.103,0,,,,,,,,,0,1,,,,,,,,,5554.00,200.00,-200.00,0,0,,,,,,0.80,0.34,-0.34,0,0,,
1057,Kepler-244,c,Transit,3,9.76729200,0.00004600,-0.00004600,0,0.087000,,,0,,,,,,,,,,,,,0.183,0.078,-0.078,0,,,,,,,,,0,1,,,,,,,,,5554.00,200.00,-200.00,0,0,,,,,,0.80,0.34,-0.34,0,0,,
1058,Kepler-244,d,Transit,3,20.05040100,0.00013000,-0.00013000,0,0.140000,,,0,,,,,,,,,,,,,0.206,0.087,-0.087,0,,,,,,,,,0,1,,,,,,,,,5554.00,200.00,-200.00,0,0,,,,,,0.80,0.34,-0.34,0,0,,
1059,Kepler-245,b,Transit,3,7.49019000,0.00001900,-0.00001900,0,0.071000,,,0,,,,,,,,,,,,,0.229,0.016,-0.016,0,,,,,,,,,1,1,,,,,,,,,5100.00,100.00,-100.00,0,0,0.8000,,,0,0,0.80,0.05,-0.05,0,0,,
1060,Kepler-245,c,Transit,3,17.46081200,0.00007600,-0.00007600,0,0.124000,,,0,,,,,,,,,,,,,0.194,0.015,-0.015,0,,,,,,,,,1,1,,,,,,,,,5100.00,100.00,-100.00,0,0,0.8000,,,0,0,0.80,0.05,-0.05,0,0,,
1061,Kepler-245,d,Transit,3,36.27710800,0.00017300,-0.00017300,0,0.202000,,,0,,,,,,,,,,,,,0.270,0.019,-0.019,0,,,,,,,,,1,1,,,,,,,,,5100.00,100.00,-100.00,0,0,0.8000,,,0,0,0.80,0.05,-0.05,0,0,,
1062,Kepler-246,b,Transit,2,4.60182000,0.00000800,-0.00000800,0,0.052000,,,0,,,,,,,,,,,,,0.209,0.107,-0.107,0,,,,,,,,,0,1,,,,,,,,,5206.00,200.00,-200.00,0,0,0.8600,,,0,0,0.83,0.42,-0.42,0,0,,
1063,Kepler-246,c,Transit,2,11.18716100,0.00007500,-0.00007500,0,0.095000,,,0,,,,,,,,,,,,,0.134,0.068,-0.068,0,,,,,,,,,0,1,,,,,,,,,5206.00,200.00,-200.00,0,0,0.8600,,,0,0,0.83,0.42,-0.42,0,0,,
1064,Kepler-247,b,Transit,3,3.33616000,0.00000700,-0.00000700,0,0.042000,,,0,,,,,,,,,,,,,0.146,0.041,-0.041,0,,,,,,,,,1,1,,,,,,,,,5100.00,200.00,-200.00,0,0,,,,,,0.77,0.21,-0.21,0,0,,
1065,Kepler-247,c,Transit,3,9.43945200,0.00000700,-0.00000700,0,0.084000,,,0,,,,,,,,,,,,,0.365,0.102,-0.102,0,,,,,,,,,1,1,,,,,,,,,5100.00,200.00,-200.00,0,0,,,,,,0.77,0.21,-0.21,0,0,,
1066,Kepler-247,d,Transit,3,20.47791200,0.00002600,-0.00002600,0,0.140000,,,0,,,,,,,,,,,,,0.352,0.098,-0.098,0,,,,,,,,,1,1,,,,,,,,,5100.00,200.00,-200.00,0,0,,,,,,0.77,0.21,-0.21,0,0,,
1067,Kepler-248,b,Transit,2,6.30820500,0.00001000,-0.00001000,0,0.066000,,,0,,,,,,,,,,,,,0.269,0.032,-0.032,0,,,,,,,,,0,1,,,,,,,,,5190.00,161.00,-161.00,0,0,,,,,,0.83,0.10,-0.10,0,0,,
1068,Kepler-248,c,Transit,2,16.23949400,0.00002400,-0.00002400,0,0.123000,,,0,,,,,,,,,,,,,0.363,0.044,-0.044,0,,,,,,,,,0,1,,,,,,,,,5190.00,161.00,-161.00,0,0,,,,,,0.83,0.10,-0.10,0,0,,
1069,Kepler-249,b,Transit,3,3.30653900,0.00001000,-0.00001000,0,0.035000,,,0,,,,,,,,,,,,,0.097,0.004,-0.004,0,,,,,,,,,0,1,,,,,,,,,3568.00,150.00,-150.00,0,0,,,,,,0.48,0.02,-0.02,0,0,,
1070,Kepler-249,c,Transit,3,7.11370200,0.00001800,-0.00001800,0,0.058000,,,0,,,,,,,,,,,,,0.135,0.008,-0.008,0,,,,,,,,,0,1,,,,,,,,,3568.00,150.00,-150.00,0,0,,,,,,0.48,0.02,-0.02,0,0,,
1071,Kepler-249,d,Transit,3,15.36845900,0.00007000,-0.00007000,0,0.097000,,,0,,,,,,,,,,,,,0.140,0.012,-0.012,0,,,,,,,,,0,1,,,,,,,,,3568.00,150.00,-150.00,0,0,,,,,,0.48,0.02,-0.02,0,0,,
1072,Kepler-25,b,Transit,3,6.23850000,,,0,0.068000,,,0,,,,,12.70000,,,1,,,,,0.232,,,0,,,,,,,,,1,1,,,,,,,,,6270.00,79.00,-79.00,0,0,1.1900,0.0600,-0.0600,0,0,1.31,0.02,-0.02,0,0,,
1073,Kepler-25,c,Transit,3,12.72040000,,,0,0.110000,,,0,,,,,4.16000,,,1,,,,,0.401,,,0,,,,,,,,,1,1,,,,,,,,,6270.00,79.00,-79.00,0,0,1.1900,0.0600,-0.0600,0,0,1.31,0.02,-0.02,0,0,,
1074,Kepler-25,d,Radial Velocity,3,123.00000000,2.00000000,-2.00000000,0,,,,,,,,,0.28300,0.04300,-0.04300,0,,,,,,,,,,,,,,,,,0,1,,,,,,,,,6270.00,79.00,-79.00,0,0,1.1900,0.0600,-0.0600,0,0,1.31,0.02,-0.02,0,0,,
1075,Kepler-250,b,Transit,3,4.14814100,0.00004600,-0.00004600,0,0.048000,,,0,,,,,,,,,,,,,0.101,0.061,-0.061,0,,,,,,,,,0,1,,,,,,,,,5160.00,200.00,-200.00,0,0,0.8000,,,0,0,0.81,0.46,-0.46,0,0,,
1076,Kepler-250,c,Transit,3,7.15680400,0.00002200,-0.00002200,0,0.069000,,,0,,,,,,,,,,,,,0.203,0.117,-0.117,0,,,,,,,,,0,1,,,,,,,,,5160.00,200.00,-200.00,0,0,0.8000,,,0,0,0.81,0.46,-0.46,0,0,,
1077,Kepler-250,d,Transit,3,17.64831200,0.00008100,-0.00008100,0,0.127000,,,0,,,,,,,,,,,,,0.194,0.112,-0.112,0,,,,,,,,,0,1,,,,,,,,,5160.00,200.00,-200.00,0,0,0.8000,,,0,0,0.81,0.46,-0.46,0,0,,
1078,Kepler-251,b,Transit,4,4.79093600,0.00003700,-0.00003700,0,0.053000,,,0,,,,,,,,,,,,,0.119,0.021,-0.021,0,,,,,,,,,0,1,,,,,,,,,5526.00,100.00,-100.00,0,0,0.9100,,,0,0,0.89,0.15,-0.15,0,0,,
1079,Kepler-251,c,Transit,4,16.51404300,0.00005400,-0.00005400,0,0.122000,,,0,,,,,,,,,,,,,0.247,0.044,-0.044,0,,,,,,,,,0,1,,,,,,,,,5526.00,100.00,-100.00,0,0,0.9100,,,0,0,0.89,0.15,-0.15,0,0,,
1080,Kepler-251,d,Transit,4,30.13300100,0.00016100,-0.00016100,0,0.182000,,,0,,,,,,,,,,,,,0.247,0.044,-0.044,0,,,,,,,,,0,1,,,,,,,,,5526.00,100.00,-100.00,0,0,0.9100,,,0,0,0.89,0.15,-0.15,0,0,,
1081,Kepler-251,e,Transit,4,99.64016100,0.00107400,-0.00107400,0,0.404000,,,0,,,,,,,,,,,,,0.247,0.044,-0.044,0,,,,,,,,,0,1,,,,,,,,,5526.00,100.00,-100.00,0,0,0.9100,,,0,0,0.89,0.15,-0.15,0,0,,
1082,Kepler-252,b,Transit,2,6.66839100,0.00003100,-0.00003100,0,0.058000,,,0,,,,,,,,,,,,,0.110,0.011,-0.011,0,,,,,,,,,0,1,,,,,,,,,4208.00,150.00,-150.00,0,0,0.5200,,,0,0,0.55,0.03,-0.03,0,0,,
1083,Kepler-252,c,Transit,2,10.84846300,0.00001500,-0.00001500,0,0.080000,,,0,,,,,,,,,,,,,0.192,0.012,-0.012,0,,,,,,,,,0,1,,,,,,,,,4208.00,150.00,-150.00,0,0,0.5200,,,0,0,0.55,0.03,-0.03,0,0,,
1084,Kepler-253,b,Transit,3,3.78398600,0.00001700,-0.00001700,0,0.046000,,,0,,,,,,,,,,,,,0.145,0.060,-0.060,0,,,,,,,,,0,1,,,,,,,,,5208.00,200.00,-200.00,0,0,,,,,,0.79,0.32,-0.32,0,0,,
1085,Kepler-253,c,Transit,3,10.28195100,0.00003200,-0.00003200,0,0.089000,,,0,,,,,,,,,,,,,0.236,0.099,-0.099,0,,,,,,,,,0,1,,,,,,,,,5208.00,200.00,-200.00,0,0,,,,,,0.79,0.32,-0.32,0,0,,
1086,Kepler-253,d,Transit,3,18.11986900,0.00006600,-0.00006600,0,0.130000,,,0,,,,,,,,,,,,,0.283,0.116,-0.116,0,,,,,,,,,0,1,,,,,,,,,5208.00,200.00,-200.00,0,0,,,,,,0.79,0.32,-0.32,0,0,,
1087,Kepler-254,b,Transit,3,5.82666200,0.00001000,-0.00001000,0,0.064000,,,0,,,,,,,,,,,,,0.345,0.165,-0.165,0,,,,,,,,,0,1,,,,,,,,,5957.00,200.00,-200.00,0,0,,,,,,0.91,0.43,-0.43,0,0,,
